Name,Age,Hometown,Occupation,Outcome
Jessica Bowlin,22,"Huntington Beach, California",Student,Winner
Tara Huckeby,23,"Shawnee, Oklahoma",General Contractor,Week 7
Mandy Jaye Jeffreys,26,"Midland, Texas",Architect Designer,Week 6
Trish Schneider,28,"Atlanta, Georgia",Model,Week 5
Karen Lindsay,28,"Pleasant Grove, Utah",Pharmaceutical Salesperson,Week 4
Suzie Williams,23,"Ann Arbor, Michigan",Prosthetic Technician,
Jenny De Schiralli,26,"Carrboro, North Carolina",Swim Instructor,Week 3
Jessica Holcomb,25,"Pearsall, Texas",Attorney,
Julie Durda,24,"Sacramento, California",Professional Cheerleader,
Katie Gehart,22,"Scottsdale, Arizona",LASIK Eye & Skin Center Manager,
Amber LaRoux,27,"Sunriver, Oregon",Consultant,Week 2
Anne-Catherine Labbé,27,"Quebec City, Quebec",Model,
Celeste Creel,24,"Ithaca, New York",Executive Assistant,
Debbie Merkett,27,"Pinetops, North Carolina",Massage Therapist,
Jean-Marie Callahan,26,"Gibson, North Carolina",Hairstylist,
Jenny Matthews,24,"Canton, Michigan",Retail Manager,
Kristy Romero,25,"Dearborn, Michigan",Student,
Mandy Clemens,25,"San Diego, California",Professional Soccer Player,
DeShaun Warner,25,"Phillipsburg, New Jersey",Account Manager,Week 1
Dolores Farburg,26,"Madison, New Jersey",Account Manager,
Francine Jones,25,"Houston, Texas",Retail Manager,
Holly Reeder,26,"Tulsa, Oklahoma",Bank Representative,
Jessica Kyron,21,"Cincinnati, Ohio",Student,
Kristin Clearwater,25,"Sausalito, California",Singer,
Rachel Clementi,26,"Buffalo, New York",Fashion PR Manager,
