Name,Age,Hometown,Occupation,Outcome,Place
Catherine Giudici[14],26,"Seattle, Washington",Graphic Designer,Winner,1
Lindsay Yenter[15],24,"Fort Leonard Wood, Missouri",Substitute Teacher,Runner-up,2
AshLee Frazier[16],32,"Houston, Texas",Personal Organizer,Week 9,3
Desiree Hartsock[17],26,"Northglenn, Colorado",Bridal Stylist,Week 8,4
Lesley Murphy[18],25,"Fort Smith, Arkansas",Political Consultant,Week 7,5
Tierra LiCausi[19],24,"Las Vegas, Nevada",Leasing Consultant,6,
Daniella McBride[20],24,"Belmont, California",Commercial Casting Associate,Week 6,7–8
Selma Alameri[21],29,"Borrego Springs, California",Real Estate Dealer,,
Sarah Herron[17][22],26,"Evergreen, Colorado",Advertising Executive,9,
Robyn Howard[16][23],24,"Topeka, Kansas",Oil Field Account Manager,Week 5,10
"Jacqueline ""Jackie"" Parr[24]",25,"Ormond Beach, Florida",Cosmetics Consultant,11,
Amanda Meyer[17],26,"Bakersfield, California",Fit Model,Week 4,12
Leslie Hughes[17],28,"Ruskin, Florida",Poker Dealer,13,
"Kristina ""Kristy"" Kaminski[25]",25,"Darien, Wisconsin",Model,Week 3,14–15
Taryn Renee Daniels[26],30,"Troutdale, Oregon",Health Club Manager,,
Kacie Boguskie[27],25,"Clarksville, Tennessee",Administrative Assistant,16,
Brooke Burchette[28],25,"Pittsburgh, Pennsylvania",Community Organizer,Week 2,17–18
Diana Weeks Willardson[29],31,"Sandy, Utah",Salon Owner,,
"Katherine ""Katie"" Levans[30]",27,"Woodstock, Illinois",Yoga Instructor,19 (quit),
Ashley Harper[31],25,"Garner, North Carolina",Fashion Model,Week 1,20–26
Ashley Palenkas[32],28,"Macomb, Michigan",Hair Stylist,,
Kelly Dutton[33],28,"Chattanooga, Tennessee",Cruise Ship Entertainer,,
Keriann Miranda[34],29,"Agoura Hills, California",Entrepreneur,,
Lacey Latka[17],24,"Stevenson Ranch, California",Graduate Student,,
Lauren Marchetti[35],27,"Cranston, Rhode Island",Journalist,,
Paige Vigil,25,"Minnetonka, Minnesota",Jumbotron Operator,,
