Name,Age,Hometown,Occupation,Outcome,Place
Melissa Rycroft[9],25,"Dallas, Texas",Sales Representative,Winner,1
Molly Malaney[10],24,"Brookfield, Wisconsin",Department Store Buyer,Runner-Up,2
Jillian Harris,29,"Peace River, Alberta",Interior Designer,Week 7,3
Naomi Crespo[11],24,"Carlsbad, California",Flight Attendant,Week 6,4
Stephanie Hogan[12],34,"Huntsville, Alabama",Medical Marketing Representative,Week 5,5
Lauren Wanger,27,"Marlboro, New Jersey",Teacher,Week 4,6–8
Megan Parris[13],25,"Sewickley, Pennsylvania",Lacrosse Coach,,
Shannon Bair[14],29,"Marshall, Missouri",Dental Hygienist,,
Nikki Kaapke[15],29,"Blue Island, Illinois",Administrative Assistant,9,
Erica DeSimone,25,"Monroe, Connecticut",Account Executive,Week 3,10–11
Kari Fajen[16],27,"Lee's Summit, Missouri",Account Executive,,
Natalie Getz[17],27,"Morton, Illinois",Human Resources Recruiter,12,
Raquel Medeiros[18],27,"Recife, Pernambuco[a]",Medical Student,Week 2,13–14
Sharon Staebell[19],32,"Batavia, New York",Teacher,,
Lisa Gonzalez[20],28,"Boise, Idaho",Public Relations Associate,15 (quit),
Ann Lueders,24,"Phoenix, Arizona",Flight Attendant,Week 1,16–25
Dominique Carta,26,"Mount Carmel, Pennsylvania",Medical Sales Representative,,
Emily,23,"Seattle, Washington",Casino Marketing Representative,,
Jackie Hickley,26,"Springfield, Massachusetts",Wedding Coordinator,,
Julie Dermotta,26,"Columbus, Ohio",Teacher,,
Nicole Mah,25,"Calgary, Alberta",Menswear Buyer,,
Renee Simlak,36,"Southfield, Michigan",Jewelry Designer,,
Shelby Callas,23,"Stockton, California",Account Executive,,
Stacia Mann,24,"Orem, Utah",Charity Accountant,,
Treasure Morgan,28,"Salt Lake City, Utah",Nurse Practitioner,,
