Name,Age,Hometown,Occupation,Outcome
Shayne Lamas,22,"Malibu, California",Actress,Winner
Chelsea Wanstrath,25,"Durango, Colorado",Pharmaceutical sales rep.,Runner-up
Amanda Rantuccio,27,"Niceville, Florida",Account Executive,Week 7
Noelle Drake,26,"Loveland, Colorado",Photographer,Week 6
Marshana Ritchie,27,"Brooklyn, New York",Fashion designer,Week 5
Robin Canfield,22,"Holland, Michigan",Advertising coordinator,Week 5
Ashlee Williss,22,"Jacksonville Beach, Florida",Singer-songwriter,Week 4
Kelly Hark,25,"Hollywood, California",Medical sales representative,Week 4
Holly Durst,24,"Suffield, Ohio",Children's book author,Week 4
Amy Bean,22,"Stockton, California",Nanny,Week 3
Erin Storm,33,"San Marcos, California",Vendor,Week 3
Kristine Heffelfinger,33,"Dillsburg, Pennsylvania",Personal trainer,Week 3
Caroline Carri Perrier,25,"Oklahoma City, Oklahoma",Church marketing rep.,Week 2
Erin Harper,25,"Seattle, Washington",Event planner,Week 2
Michelle Procopio,28,"Syracuse, New York",Administrative assistant,Week 2
Alyssa Johnson,24,"Boise, Idaho",Biology student,Week 1
Amanda Peterman,26,"Cape Girardeau, Missouri",Law student,Week 1
Denise Gitsham,30,"Washington, D.C.",Attorney and former White House aide,Week 1
Devon Grisham,24,"Austin, Texas",Make-up artist,Week 1
Lesley Geyer,23,"Tampa, Florida",Youth minister,Week 1
Michele Romero,33,"Laguna Niguel, California",Interior designer,Week 1
Rebecca LeBlanc,30,"Alamo, California",Attorney,Week 1
Stacey Elza,26,"Chicago, Illinois",Graduate student,Week 1
Tamara Marco,23,"Beverly Hills, California",Cocktail waitress,Week 1
Tiffany Hickenbottom,33,"San Francisco, California",Real estate marketing rep.,Week 1
