Name,Age,Hometown,Occupation,Outc
Kelsey Anderson,25,"Leesville, Louisiana",Junior Project Manager,Winner
Daisy Kent,25,"Becker, Minnesota",Account Executive,Runner-Up
Rachel Nance,26,"Honolulu, Hawaii",ICU Nurse,Week 9
Maria Georgas,29,"Kleinburg, Ontario",Executive Assistant,Week 8
Jennifer Tran,25,"Hillsdale, New Jersey",PA Student,Week 7
Kelsey Toussant,31,"Inglewood, California",Actress,Week 7
Katelyn DeBacker,26,"Santa Fe, New Mexico",Radiochemist,Week 6
Lea Cayanan,23,"Waipahu, Hawaii",Account Manager,Week 6
Lexi Young,30,"Pataskala, Ohio",Digital Strategist,Week 6
Jessica Edwards,24,"Erwin, Tennessee",Executive Assistant,Week 6
Autumn Waggoner,26,"De Soto, Missouri",Account Executive,Week 5
Madina Alam,31,"Charlotte, North Carolina",Mental Health Therapist,Week 5
Allison Hollinger,26,"Dover, Delaware",Realtor,Week 4
Edwina Dorbor,25,"Maple Grove, Minnesota",Entrepreneur,Week 4
Sydney Gordon,28,"Newport, Rhode Island",Vintage Store Owner,Week 4
Chrissa Perez,26,"Abbotsford, British Columbia",Marketing Director,Week 3
Evalin Clark,29,"San Antonio, Texas",Nanny,Week 3
Starr Skyler,25,"Delray Beach, Florida",Mental Health Counselor,Week 3
Erika Cardenas,25,"North Bergen, New Jersey",Leasing Agent,WeekWeek 2
Marlena Haddad,26,"Waterbury, Connecticut",Finance Writer,Week 2
Taylor Wiens,23,"Olathe, Kansas",Recruiter,Week 2
Lauren Hollinger,28,"Dover, Delaware",Registered Nurse,Week 2
Chandler Dewgard,24,"Brooklyn, New York",Graphic Designer,Week 1
Kayla Rodgers,27,"Hamilton, Ohio",Guidance Counselor,Week 1
Kyra Brusch,26,"Miami, Florida",Paralegal,Week 1
Lanie Latsios,27,"Glen Mills, Pennsylvania",Realtor,Week 1
Natalie Crepeau,26,"Sudbury, Ontario",Nursing Professor,Week 1
Samantha Hale,31,"Melville, New York",CPA,Week 1
Samantha Washington,25,"Lincoln, Nebraska",Miami Dolphins Cheerleader,Week 1
Sandra Rabadi,26,"Strongsville, Ohio",Cybersecurity Consultant,Week 1
Talyah Jackson,23,"Huntington Beach, California",Esthetician,Week 1
Zoe Antona,24,"Roswell, Georgia",Artist,Week 1
