Name,Age,Hometown,Occupation,Outcome
Rachael Kirkconnell,24,"Cumming, Georgia",Graphic Designer,Winner
Michelle Young,27,"Woodbury, Minnesota",Teacher,Runner-Up
Briana Springs,24,"San Antonio, Texas",Communications Manager,Week 9
Serena Pitt,23,"Markham, Ontario",Publicist,Week 8
Pieper James,23,"Happy Valley, Oregon",Graduate Student,Week 8
Jessenia Cruz,27,"El Paso, Texas",Social Media Marketer,Week 8
Kit Keenan,21,"Manhattan, New York",Fashion Entrepreneur,Week 7
Abigail Heringer,25,"Salem, Oregon",Client Financial Manager,Week 7
Chelsea Vaughn,29,"Marietta, Georgia",Runway Model,Week 6
Serena Chew,24,"San Bruno, California",Flight Attendant,Week 6
Katie Thurston,29,"Lynnwood, Washington",Bank Marketing Manager,Week 6
Brittany Galvin,23,"Hinsdale, Illinois",Model,Week 5
Mearg Tareke,32,"Adwa, Ethiopia",Pharmacist,Week 5
Ryan Claytor,26,"Mechanicsville, Virginia",Dancer/Choreographer,Week 5
Meredith Snyder,23,"Hudson, Ohio",Hairstylist,Week 5
Catalina Morales,29,"Caguas, Puerto Rico",Former Miss Universe Puerto Rico,Week 4
Lauren Maddox,29,"Miami, Florida",Corporate Attorney,Week 4
Mariela Pepin,24,"Severn, Maryland",Marketing Director,Week 4
Victoria Larson,27,"Los Angeles, California",Queen,Week 4
Anna Redman,24,"Owatonna, Minnesota",Copywriter,Week 4
Kaili Anderson,26,"San Diego, California",Hostess,Week 3
Khaylah Epps,28,"Durham, North Carolina",Healthcare Advocate,Week 3
Kimberly Li,28,"Cypress, California",ICU Nurse,Week 3
Sarah Trott,24,"Scripps Ranch, California",Broadcast Journalist,Week 3
Alana Milne,26,"San Antonio, Texas",Photographer,Week 2
Illeana Pennetto,25,"South Salem, New York",Health Food Developer,Week 2
Kristin Hopkins,27,"Virginia Beach, Virginia",Attorney,Week 2
Marylynn Sienna,28,"Huntington Beach, California",Event Coordinator,Week 2
Sydney Johnson,28,"Franklin, Tennessee",Marketing Specialist,Week 2
Alicia Holloway,24,"Morgantown, West Virginia",Professional Ballerina,Week 1
Amber Andrews,30,"Rialto, California",Nursing Student,Week 1
Carolyn Vallejo,30,"Newburyport, Massachusetts",Journalist,Week 1
Casandra Suarez,25,"Lodi, California",Social Worker,Week 1
Corrinne Jones,22,"Pomfret, Connecticut",Marketing Manager,Week 1
Emani Curl,25,"Albuquerque, New Mexico",Realtor,Week 1
Kimberly Courneya,28,"Lake Tapps, Washington",Airline Recruiter,Week 1
Saneh Ste. Claire,25,"Vilano Beach, Florida",IT Consultant,Week 1
