Name,Age,Hometown,Occupation,Outcome
Jessica Bowlin,22,"Huntington Beach, California",Student,Winner
Tara Huckeby,23,"Shawnee, Oklahoma",General Contractor,Week 7
Mandy Jaye Jeffreys,26,"Midland, Texas",Architect Designer,Week 6
Trish Schneider,28,"Atlanta, Georgia",Model,Week 5
Karen Lindsay,28,"Pleasant Grove, Utah",Pharmaceutical Salesperson,Week 4
Suzie Williams,23,"Ann Arbor, Michigan",Prosthetic Technician,Week 4
Jenny De Schiralli,26,"Carrboro, North Carolina",Swim Instructor,Week 3
Jessica Holcomb,25,"Pearsall, Texas",Attorney,Week 3
Julie Durda,24,"Sacramento, California",Professional Cheerleader,Week 3
Katie Gehart,22,"Scottsdale, Arizona",LASIK Eye & Skin Center Manager,Week 3
Amber LaRoux,27,"Sunriver, Oregon",Consultant,Week 2
Anne-Catherine Labbé,27,"Quebec City, Quebec",Model,Week 2
Celeste Creel,24,"Ithaca, New York",Executive Assistant,Week 2
Debbie Merkett,27,"Pinetops, North Carolina",Massage Therapist,Week 2
Jean-Marie Callahan,26,"Gibson, North Carolina",Hairstylist,Week 2
Jenny Matthews,24,"Canton, Michigan",Retail Manager,Week 2
Kristy Romero,25,"Dearborn, Michigan",Student,Week 2
Mandy Clemens,25,"San Diego, California",Professional Soccer Player,Week 2
DeShaun Warner,25,"Phillipsburg, New Jersey",Account Manager,Week 1
Dolores Farburg,26,"Madison, New Jersey",Account Manager,Week 1
Francine Jones,25,"Houston, Texas",Retail Manager,Week 1
Holly Reeder,26,"Tulsa, Oklahoma",Bank Representative,Week 1
Jessica Kyron,21,"Cincinnati, Ohio",Student,Week 1
Kristin Clearwater,25,"Sausalito, California",Singer,Week 1
Rachel Clementi,26,"Buffalo, New York",Fashion PR Manager,Week 1
