Name,Age,Hometown,Job,Outcome
Whitney Bischoff,29,"Louisville, Kentucky",Fertility Nurse,Winner
Becca Tilley,25,"Shreveport, Louisiana",Chiropractic Assistant,Runner-up
Kaitlyn Bristowe,29,"Leduc, Alberta",Dance Instructor,Week 9
Jade Roper,28,"Gering, Nebraska",Cosmetics Developer,Week 8
Carly Waddell,29,"Arlington, Texas",Cruise Ship Singer,Week 7
Britt Nilsson,27,"Wolcott Mills, Michigan",Waitress,Week 7
Megan Bell,24,"Brentwood, Tennessee",Make-Up Artist,Week 6
Kelsey Poe,28,"Hudsonville, Michigan",Guidance Counselor,Week 6
Ashley Iaconetti,26,"Great Falls, Virginia",Journalist,Week 6
Mackenzie Deonigi,21,"Maple Valley, Washington",Dental Assistant,Week 5
Samantha Steffen,27,"Indianapolis, Indiana",Fashion Designer,Week 5
Ashley Salter,24,"Vinings, Georgia",Hair Stylist,Week 4
Juelia Kinney,30,"Beaverton, Oregon",Esthetician,Week 4
Nikki Delventhal,26,"Hasbrouck Heights, New Jersey",Former NFL Cheerleader,Week 4
Jillian Anderson,25,"Howland, Ohio",News Producer,Week 4
Amber James,29,"Kankakee, Illinois",Bartender,Week 3
Tracy Darakis,29,"Wellington, Florida",Fourth Grade Teacher,Week 3
Trina Scherenberg,33,"Algonquin, Illinois",Special Education Teacher,Week 3
Alissa Giambrone,24,"Hamilton, New Jersey",Flight Attendant,Week 2
Jordan Branch,24,"Windsor, Colorado",Student,Week 2
Kimberly Sherbach,28,"Wantagh, New York",Yoga Instructor,Week 2
Tandra Steiner,30,"Sandy, Utah",Executive Assistant,Week 2
Tara Eddings,26,"Fort Lauderdale, Florida",Sport Fishing Enthusiast,Week 2
Amanda Goerlitz,24,"Lake in the Hills, Illinois",Ballet Teacher,Week 1
Bo Stanley,25,"Carpinteria, California",Plus-Size Model,Week 1
Brittany Fetkin,26,"Temecula, California",WWE Diva-in-Training,Week 1
Kara Wilson,25,"Brownsville, Kentucky",High School Soccer Coach,Week 1
Michelle Davis,25,"Provo, Utah",Wedding Cake Baker,Week 1
Nicole Meacham,31,"Scottsdale, Arizona",Real Estate Agent,Week 1
Reegan Cornwell,28,"Manhattan Beach, California",Cadaver Tissue Saleswoman,Week 1
